cust_id,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure,avg_purchase,total_transactions,balance_group,normalized_balance
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,47.7,2,Low,0.004381293254322259
C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,,4,Medium,0.34304870277333155
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,64.43083333333333,12,Medium,0.26728065243036164
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,864.2065423050826,0.0,12,1499.0,2,Medium,0.17853395307851758
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,16.0,1,Low,0.08759365995713458
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,166.66,8,Medium,0.19386907800233144
C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,110.79703125,64,Low,0.06719225454840799
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,36.35,12,Medium,0.19534990572256233
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,172.298,5,Medium,0.10871904839170507
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,427.2,3,Low,0.01630646513099623
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,76.67666666666666,12,Medium,0.13851970222444052
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,248.6966666666667,6,Low,0.06757081042083452
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,123.76884615384614,26,Medium,0.16249358000985198
C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.137986,0.083333,12,82.22807692307691,26,Low,0.09873190684486625
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,,1,Medium,0.2970197556832734
C10016,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,146.51818181818183,15,High,0.7376520067347664
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,,3,Medium,0.22196085919195155
C10018,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,64.875,8,Low,0.0044015111062941335
C10019,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12,56.03888888888889,9,Medium,0.21306966126454424
C10020,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,33.22,12,Medium,0.3832726856154644
C10021,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,13557.29726,0.0,12,22.085,8,Medium,0.2160275111555244
C10022,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.959051,1659.775075,0.0,12,69.12989130434782,98,High,0.6823049767804441
C10023,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,47.99411764705882,17,Low,0.014176516996642225
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,326.79615384615386,26,Medium,0.4070726820541488
C10025,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,,4,High,0.5750820080862903
C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,33.300000000000004,12,Low,0.018187034298814606
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,971.183209,0.0,12,51.0,7,Medium,0.17310260914336212
C10028,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.773715,164.748819,0.0,12,19.44,12,Low,0.01346444422876879
C10029,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,48.38125,24,High,0.7662157096958205
C10030,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,20.0,5,Low,0.00236344375756558
C10032,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,256.848991,0.0,12,29.94911111111111,47,Medium,0.1245028611608044
C10033,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.118876,2506.745366,0.0,12,108.31666666666666,6,High,0.7212208332138007
C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12,57.88999999999999,11,Low,0.013460763152869874
C10035,3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.607835,17862.55831,0.0,12,39.09142857142857,14,Medium,0.3767523569054131
C10036,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.569311,0.0,12,,1,Medium,0.17742849901322605
C10037,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,,11,High,0.7955893937525619
C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,58.06219512195123,48,Medium,0.43356664321025207
C10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,102.0,14,High,0.6715808412905294
C10040,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,160.54,12,Medium,0.15121100418198352
C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.333445,0.166667,12,,3,Low,0.07106861085961717
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.111111,12,56.54037037037037,38,Low,0.08407748766745576
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,203.82,1,Medium,0.43969712462285565
C10045,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.354137,0.0,12,,1,Medium,0.14576289048448812
C10046,5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.341501,1318.71492,0.0,12,76.272,20,High,0.5694447446753685
C10047,2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,864.2065423050826,0.0,12,87.4,7,Medium,0.2401967030960673
C10048,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,1700.0,176.013005,147.199792,0.0,8,36.58,4,Low,0.05082283684942122
C10049,3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,864.2065423050826,0.0,12,,7,Medium,0.4188515957572749
C10050,229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,27.47816091954023,87,Low,0.024623400435595626
C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,169.16666666666666,5,Low,0.09253141536210345
C10052,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297346,1012.415961,0.0,8,100.15777777777777,46,Medium,0.5282448739483612
C10053,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,1322.446601,0.0,12,172.65833333333333,18,Medium,0.11557067553946071
C10054,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,,3,Medium,0.16771595154574215
C10055,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.052742,132.446091,0.2,9,179.92909090909092,12,Low,0.04977595263941717
C10056,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.016763,864.2065423050826,0.0,12,38.75,8,Low,0.0007134753987610039
C10057,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,864.2065423050826,0.0,12,213.98333333333335,6,Medium,0.14054117088166515
C10058,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,864.2065423050826,0.0,12,78.3175,9,Medium,0.38833381287263097
C10059,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,7500.0,5678.729613,1311.514878,0.083333,12,124.22904761904762,42,Medium,0.25562402995163475
C10060,3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4000.0,764.938728,1600.212243,0.0,11,,3,Medium,0.42538887204907
C10061,5493.90406,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4,6,6000.0,2110.557023,1895.02617,0.0,12,38.166666666666664,10,High,0.5885076774014988
C10062,1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6500.0,3509.686561,548.105836,0.0,12,56.5,2,Medium,0.20129092591642261
C10063,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,837.215674,0.0,12,66.2,1,Medium,0.16665681225809245
C10064,809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7,0,4150.0,4372.148648,241.645387,0.090909,11,,7,Low,0.0867226279969965
C10065,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,0.0,864.2065423050826,0.0,12,840.0,1,Low,0.0007661612528247671
C10067,1923.886805,1.0,1887.64,0.0,1887.64,1605.949371,1.0,0.0,1.0,0.083333,4,61,1850.0,3688.045998,3266.996777,0.083333,12,30.944918032786887,65,Medium,0.20608699074987855
C10068,1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0,11,1800.0,777.451648,897.905444,0.0,12,37.484545454545454,11,Medium,0.18832360164692777
C10069,809.847455,0.875,0.0,0.0,0.0,908.423608,0.0,0.0,0.0,0.125,1,0,1500.0,146.074769,179.412493,0.0,8,,1,Low,0.0867509588057067
C10070,1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,2500.0,540.022225,352.883804,0.0,12,,6,Medium,0.16885398823165693
C10071,3990.523579,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0,8,6000.0,6876.836205,1001.607366,0.083333,12,32.9375,8,Medium,0.4274653757046508
C10072,1699.435486,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0,4,1700.0,1623.816348,923.505868,0.0,12,340.9225,4,Medium,0.18204373790239564
C10073,5487.683724,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4,11,6250.0,1288.214909,2180.881868,0.0,12,38.1,15,High,0.5878413542454994
C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000.0,28232.69446,1107.030803,0.454545,12,137.0687878787879,60,Medium,0.32033439170264155
C10075,656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3,0,7000.0,910.457985,140.983193,0.25,8,,3,Low,0.07027219417083636
C10077,1808.972419,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,2250.0,889.017418,622.757696,0.0,10,89.2375,8,Medium,0.19377734761335835
C10078,532.334517,0.909091,791.94,516.64,275.3,0.0,0.272727,0.090909,0.181818,0.0,0,7,6000.0,1305.177304,175.510344,0.0,11,113.13428571428572,7,Low,0.05702373881649449
C10079,5860.433624,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0,14,6000.0,1990.044998,2161.428274,0.0,12,40.13357142857143,14,High,0.6277703692965269
C10080,1727.638449,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0,17,11000.0,2959.920544,623.656993,0.0,12,35.65352941176471,17,Medium,0.18506484276147292
C10081,578.809679,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.666667,0.0,0,8,1500.0,1438.910569,190.186542,0.0,12,40.0,8,Low,0.06200216387575524
C10082,1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,0.0,0.083333,1,0,1200.0,29.278671,8242.687678,0.0,12,,1,Medium,0.12915651857488586
C10083,6593.820644,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7,7,7000.0,1624.583114,2503.40234,0.0,12,55.52285714285715,14,High,0.7063308769178789
C10084,17.357563,0.909091,244.85,40.21,204.64,0.0,0.666667,0.166667,0.583333,0.0,0,13,5000.0,357.802082,121.523416,0.181818,12,18.834615384615383,13,Low,0.0018593442795723286
C10085,81.584711,0.272727,0.0,0.0,0.0,2985.300006,0.0,0.0,0.0,0.166667,5,0,9500.0,116.569033,164.692136,0.0,12,,5,Low,0.008739364258589274
C10086,3.78631,0.636364,133.05,28.2,104.85,0.0,0.416667,0.166667,0.25,0.0,0,5,12000.0,210.053432,99.533735,0.444444,12,26.610000000000003,5,Low,0.00040558999205058354
C10087,42.46443,0.545455,396.0,0.0,396.0,0.0,0.5,0.0,0.416667,0.0,0,12,1200.0,725.606194,140.809454,1.0,12,33.0,12,Low,0.004548794955017567
C10088,1935.362486,1.0,4915.6,4515.34,400.26,293.844792,1.0,1.0,0.333333,0.083333,1,50,9000.0,4921.066897,594.756686,0.0,12,98.31200000000001,51,Medium,0.20731626710748396
C10089,134.917202,1.0,1247.8,1247.8,0.0,0.0,1.0,1.0,0.0,0.0,0,22,16500.0,1275.229436,171.357189,1.0,12,56.71818181818182,22,Low,0.014452347242213918
C10090,7069.950386,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,11000.0,4589.873897,1876.262988,0.0,12,69.7295652173913,46,High,0.7573339533360344
C10092,8181.251131,1.0,2258.01,1318.78,939.23,5251.228934,1.0,0.75,1.0,0.75,21,60,13500.0,3021.575846,2074.581541,0.0,12,37.633500000000005,81,High,0.8763766255763838
C10093,4037.305658,1.0,45.0,45.0,0.0,104.238064,0.083333,0.083333,0.0,0.083333,1,1,4500.0,1073.844885,968.941265,0.0,12,45.0,2,Medium,0.4324766777506322
C10094,6110.265264,1.0,0.0,0.0,0.0,2717.253917,0.0,0.0,0.0,0.416667,14,0,6500.0,1502.205631,2864.380327,0.0,12,,14,High,0.6545323652455073
C10096,1977.00709,1.0,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000.0,3056.424974,910.707525,0.090909,11,60.70823529411764,38,Medium,0.21177724220073035
C10097,1321.47608,1.0,45.65,45.65,0.0,495.657934,0.083333,0.083333,0.0,0.083333,1,1,1800.0,440.840439,312.560636,0.0,12,45.65,2,Medium,0.1415566799290698
C10098,1307.717841,1.0,405.6,405.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,2400.0,0.0,864.2065423050826,0.0,12,202.8,2,Medium,0.14008289567827154
C10099,2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,864.2065423050826,0.0,12,71.11333333333333,3,Medium,0.2495348014623915
C10100,1139.782882,1.0,0.0,0.0,0.0,120.612912,0.0,0.0,0.0,0.083333,1,0,1200.0,151.823651,2906.110765,0.0,12,,1,Medium,0.12209368225258133
C10101,1619.955708,1.0,739.44,739.44,0.0,0.0,0.666667,0.666667,0.0,0.0,0,11,6000.0,417.128532,389.138517,0.0,12,67.2218181818182,11,Medium,0.17352985432519194
C10102,3505.671311,1.0,0.0,0.0,0.0,1713.984305,0.0,0.0,0.0,0.5,6,0,4000.0,0.0,864.2065423050826,0.0,12,,6,Medium,0.37552794123049854
C10103,4.708041,0.363636,79.0,0.0,79.0,0.0,0.25,0.0,0.166667,0.0,0,3,7000.0,217.820198,121.781205,1.0,12,26.333333333333332,3,Low,0.0005043259299327899
C10104,0.0,0.0,0.0,0.0,0.0,89.849004,0.0,0.0,0.0,0.142857,1,0,3000.0,138.021428,864.2065423050826,0.0,7,,1,,0.0
